Name,Discount_price,Actual_price,Rating_stars
For Redmi 7 8 8A 9 9A 9C 9T 10 10C Display LCD Touch Screen Assembly LCD Display Digitizer Assembly Replacement Parts,"₦ 112,930","₦ 191,995",No rating
For Iphone 6 6plus 6s 6sp 7 7plus 8 X 8plus Xs Xr Xax/ipad Pro Nand Flash Memory Ic 16g 32g 64g 128g 256g 512g With Programmed,"₦ 51,935","₦ 77,909",No rating
New For Umidigi A9 Pro / A7 Pro / A11 / Bison / Power 5 / Bison Pro Back Camera Lens Cover Lens A9pro / A7pro Lensglue,"₦ 42,552","₦ 72,344",No rating
Oraimo Call Watch Best Quality,"₦ 74,500","₦ 85,000",No rating
5.7 Inch Touch screen For Tecno Phantom 8 Phantom8 AX8 Touch Screen Digitizer replacement,"₦ 51,365","₦ 87,314",No rating
For Samsung Galaxy A7 A750 Fingerprint Touch Sensor Finger Power Switch On Off Side on Key Flex Cable,"₦ 30,814","₦ 52,387",No rating
50pcs For Iphone 12 11 Pro Xs Max Xr X 7 8 6s 6 Plus 5se 5s 5c 5 Inner Earpiece Ear Speaker Anti Dust Grill Mesh Gasket Adhesive,"₦ 34,435","₦ 58,534",No rating
Fitpro Watch 8ultra Unique Watch Watch Series 8,"₦ 56,000","₦ 75,000",No rating
Damaged Bad Board Motherboard No Nand Disembly For Iphone 6 6s 5s 7 8 Plus 8p X Xs Xr 11 Pro Max 7p Repair Training Practice,"₦ 76,753","₦ 130,477",No rating
Front Facing Camera For Iphone 6 6s 6sp 6p 7 7plus 8 8plus X Xr X 11 11promax all Front Camera Sensitize Flat Sensor Cable,"₦ 50,985","₦ 86,673",No rating
Usb Plug Charger Sub Board Flex Cable For Samsung Galaxy Fold 5g M10 M20 M30 M30s Note 4g Plus 7 8 9 S10 S8 Active F900 F9000,"₦ 70,507","₦ 119,856",No rating
Oraimo OraiImo 12W 27000mAh 3 Built-in Fast Charging Cables Power Bank,"₦ 45,000",No old_price,No rating
Usb Charging Dock Port Connector Flex Cable Board For Motorola Moto C M E3 E4 E4t E5 G3 G4 Play G5 Plus G6 G7 Play X4,"₦ 28,624","₦ 48,664",No rating
New Usb Charging Port Dock Connector Board Flex Cable For Tecno Spark 3 Pro Spark 3pro Usb Charge Charger Port Board Flex,"₦ 39,663","₦ 67,435",No rating
Fingerprint Touch Single Business Headset Bluetooth 5.0 Handsfree HIFI Noise Reduction Earphone Waterproof Earpiece With Mic,"₦ 42,998","₦ 61,115",No rating
Quality Front Camera For Iphone 6 6s 7 8 G Plus X Xax Xr all Camera Flex Cable With Face Id Module Auto-Brightness,"₦ 37,749","₦ 65,510",No rating
Fitpro 2x T55 Smart Watch Series,"₦ 22,000","₦ 25,000",No rating
Weight Lifting Shoulder Squat Pad Arm Blaster Barbell Stabilizer Protect Red Red (red),"₦ 33,982","₦ 67,963",No rating
Baby Car Seat Cosy Fleece Fabric Liner Pad Head Rest Matress,"₦ 35,181","₦ 70,361",No rating
New Back Camera For Iphone 7 8 7plus 8 Plus 5s 5c 5 Se 6 6s 6s Plus Back Camera Rear Main Lens Flex Cable Replacement Part,"₦ 57,866","₦ 98,380",No rating
Universal Baby Stroller Rain Cover Kid Clear Double Pushchair Twins Pram Buggys,"₦ 34,782","₦ 69,563",No rating
Universal Baby Stroller Rain Cover Kid Clear Double Pushchair Twins Pram Buggys,"₦ 68,470","₦ 102,705",No rating
Repair Part Back Rear Camera Flex For Iphone 6g 6s 7g 8g 8 Plus Xs Xr 11 Pro Max Big Camera Module Flex Cable Ribbon Replacement,"₦ 75,152","₦ 127,753",No rating
KZ AZ10 Bluetooth 5.2 Wireless Ear Hook Earphones Upgrade Cable HiFi Headset Sport Game Headphone Line For KZ ZS10 PRO ZSX ZAS,"₦ 105,003","₦ 154,143",No rating
Quality Front Camera For Iphone 6 6s 7 8 G Plus X Xax Xr all Camera Flex Cable With Face Id Module Auto-Brightness,"₦ 39,529","₦ 67,201",No rating
Front Camera Flex For Samsung Galaxy S3 S4 S5 Mini S6 S7 Edge S8 Plus S2 Face Front Camera Flex all Front Facing Camera,"₦ 28,350","₦ 48,179",No rating
Full Tested Unlocked Replacement Motherboard Mainboard Logic Board For Samsung Galaxy A7 A720f Motherboard With Android System,"₦ 98,530","₦ 167,501",No rating
Unlocked For Lg G3 D855 D852 D851 D850 Motherboard With Full Chips Android System For Replacement Logic Board 4g,"₦ 86,857","₦ 147,661",No rating
New For Samsung Galaxy A12 A125 A125f Home on Fingerprint Sensor Flex With Power Key on Flex Cable,"₦ 35,770","₦ 60,815",No rating
For Anker MagGo Magnetic 3-in-1 Wireless Charger Storage Bag,"₦ 9,230","₦ 13,180",No rating
Edifier Bluetooth 5.0 Wireless Headset L350 Folding Stereo Headset,"₦ 42,782","₦ 60,804",No rating
Front Facing Camera Module For Samsung Galaxy A8 A730f,"₦ 32,548","₦ 55,327",No rating
Motor Vibrator Flex Cable For Iphone X Xs Max Xr 7 8 Plus Motor Flex Cable Spare Parts,"₦ 49,637","₦ 84,386",No rating
Alisunny 100pcs Lcd Fpc Flex Cable Cover For Iphone 8 Plus X Xs Max Xr Inner Metal Bracket Clip Holder Parts,"₦ 66,080","₦ 112,347",No rating
Oem Front Facing Camera Module Flex Cable For Iphone X Xs Xr Xs Max 11 11 Pro 6 6s 7 8 Plus Replacement With Auto-brightness,"₦ 88,360","₦ 150,217",No rating
63 in 1 Precision Screwdriver Set Phillips Torx Magnetic Screw Driver Bit Professional Repair Tool Kit for Watch Camera,"₦ 59,516","₦ 101,188",No rating
Main Flex Cable For Samsung A10s A20s A21s A30s A40s A50s A60s A70s A31 A41 A51 A71 Connect Mainboard To Lcd Screen Ribbon,"₦ 32,064","₦ 54,509",No rating
Front Camera Flex Cable For Iphone 11 12 Pro X Xr Xs Max 7 8 Plus Mini Se2 Facing Camera Phone Parts No Face Id,"₦ 44,389","₦ 75,467",No rating
4 Heads 2800RPM Massage Machine Rechargeable Percussion Deep Tissue Muscle Vibration Relaxing Tool Gifts --Red/ Black/ Silver/ Gray Grey-US Plug,"₦ 212,090","₦ 318,135",No rating
Photo Front Camera 16.0mp Module For Gionee S10 Lite,"₦ 59,085","₦ 100,434",No rating
1pc 100% Test Back Camera Replacement For Iphone 12 Pro 12 Mini 12 11 Pro Xs Max Xr X Se Main Lens Rear Camera Module Flex,"₦ 85,537","₦ 145,407",No rating
"Screen Replacement For Samsung Galaxy J7 J737tv J737t J737a J737p J737u J7 Star 5.5"" Lcd Display Touch Digitizer Tools","₦ 93,393","₦ 140,090",No rating
P9 PRO MAX Tws Strong Bass Wireless Bluetooth Headsets,"₦ 41,391","₦ 58,712",No rating
Haylou GT5 True Wireless Earbuds BT 5.0 Headphones With Touch Control Dual Hosts Voice Assistance Supports Wireless Charging Headsets With In-ear Detection Battery Indicator For Gaming Sports Gym,"₦ 73,899","₦ 107,474",No rating
Huawei FreeBuds Pro 2 Wireless Bluetooth Headphones In-Ear Music Headphones(Silver),"₦ 420,525","₦ 627,399",No rating
1set Loca Glue Clean Tool 60w 80mm Soldering Iron T-Type Solder Iron Tip Blade Glue Remove Lcd Screen Separator Repair Machine,"₦ 63,310","₦ 107,615",No rating
Vivo Y33 Y35a Y37 Y51 Y55 Y66 Y67 Y31 Y53 Usb Charging Socket Ic Fast Charge Pcb Board Connector Flex Cable artphone,"₦ 58,283","₦ 99,081",No rating
Oem Front Camera Replacement For Motorola Moto Z Xt1650,"₦ 48,848","₦ 83,049",No rating
SUNSHINE SS-918L Screen Separator LCD Separation Machine Support Under 8 inch Build-in Vacuum Pump Rapid Heating Screen,"₦ 117,621","₦ 199,949",No rating
Mechanic Bga Reballing Stencil For Iphone 12 11 Pro Max Xs Xr X 8 8p 7 7p 6s 6sp 6 6p 5 5s Cpu Ram Power Audio Emmc Wifi Ic Chip,"₦ 31,503","₦ 53,550",No rating
Novaphopat Tray For Tecno Spark 4 5 7 Pro 5Pro KC2 KC8 KD7 KF6 CG6 KF7 KG6 LG8 Holder Slot Adapter Reader Pin,"₦ 53,273","₦ 90,547",No rating
For Redmi 7 8 8A 9 9A 9C 9T 10 10C Display LCD Touch Screen Assembly LCD Display Digitizer Assembly Replacement Parts,"₦ 112,930","₦ 191,995",No rating
For Iphone 6 6plus 6s 6sp 7 7plus 8 X 8plus Xs Xr Xax/ipad Pro Nand Flash Memory Ic 16g 32g 64g 128g 256g 512g With Programmed,"₦ 51,935","₦ 77,909",No rating
New For Umidigi A9 Pro / A7 Pro / A11 / Bison / Power 5 / Bison Pro Back Camera Lens Cover Lens A9pro / A7pro Lensglue,"₦ 42,552","₦ 72,344",No rating
5.7 Inch Touch screen For Tecno Phantom 8 Phantom8 AX8 Touch Screen Digitizer replacement,"₦ 51,365","₦ 87,314",No rating
For Samsung Galaxy A7 A750 Fingerprint Touch Sensor Finger Power Switch On Off Side on Key Flex Cable,"₦ 30,814","₦ 52,387",No rating
50pcs For Iphone 12 11 Pro Xs Max Xr X 7 8 6s 6 Plus 5se 5s 5c 5 Inner Earpiece Ear Speaker Anti Dust Grill Mesh Gasket Adhesive,"₦ 34,435","₦ 58,534",No rating
Damaged Bad Board Motherboard No Nand Disembly For Iphone 6 6s 5s 7 8 Plus 8p X Xs Xr 11 Pro Max 7p Repair Training Practice,"₦ 76,753","₦ 130,477",No rating
Front Facing Camera For Iphone 6 6s 6sp 6p 7 7plus 8 8plus X Xr X 11 11promax all Front Camera Sensitize Flat Sensor Cable,"₦ 50,985","₦ 86,673",No rating
