Name,Discount_price,Old_price,Rating_stars
1 Pair Finger Cover Sensitive Luminous Breathable Video Games Touch Screen Fingertip Gloves For Gamers-Pink,"₦ 21,710",,No rating
1 Pair X7 Game Trigger Ergonomic Design-Transparent White,"₦ 9,000",,No rating
360° Rotating Display Turntable For Watch Shoe Mannequin Phones Jewelry,"₦ 46,878",,No rating
Phone Finger Lanyard Antifall Scentless Lightweight Phone Ring Rope Key Chain Pendant For Back ShellRed,"₦ 1,529",,No rating
Phone Fish Eye Lens HDcompatible Professional 3 In 1 10X Macro Wide Angle 4K Phone Camera Lens For Taking PhotosSilver,"₦ 3,372",,No rating
New 9.8-inch Portable Rechargeable EVD Player English,"₦ 129,700",,No rating
For AirPods Max Headphone Soft Case Purple,"₦ 28,781",,No rating
Mobile game cooling handle cooler semiconductor phone,"₦ 7,425 - ₦ 10,800",,No rating
Shockabsorbing Phone Protector Card Holder Design TPU Anti Fade Allinclusive Antioxidant Protective Case For IPhone 1212 Pro12 Mini12 Pro Max1111 Pro11 Pro MaxTransparent,"₦ 2,225",,No rating
LCD Touch Screen Digitizer For Samsung Galaxy S7 Edge-Silver,"₦ 280,000",,No rating
Phone Strap Buckle Securefix Phone Strap One-handed Anti-fall Holder ,"₦ 2,048 - ₦ 3,578",,No rating
"MagSafe Magnetic Bracket, Desktop Folding Mobile Phone Bracket, Suspension Screen Car Navigation Holder, Aluminum Alloy Simple Style High Quality Bracket","₦ 20,286 - ₦ 22,218",,No rating
Y16 Smart Watch Touch Control Heart Rate Monitor IP65Blue,"₦ 10,716",,No rating
X13 Phone Cooler Stretchable Quick Cooling AuxiliaryBlack,"₦ 5,221",,No rating
Qkz AK6 Pro 3.5mm Wired Headphones Dynamic Music Earphone,"₦ 16,081",,No rating
2PCS Finger Covers Universal Breathable Ultrathin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 32,028",,No rating
360° Rotating Display Turntable For Watch Shoe Mannequin Phones Jewelry,"₦ 43,065",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 25,650",,No rating
Portable Selfie Button Clicker Wireless Bluetooth Selfie for Android White,"₦ 2,071",,No rating
For OSMO Mobile 3 To 5 6 7 Camera Gimbal Stabilizer,"₦ 47,250",,No rating
Game Gamepad Semiconductor Refrigeration Quick Cooling Universal Phone Cooling Fan Game Grip Handle For Android,"₦ 4,745",,No rating
Multi-use PC Practical Shock-proof Phone Case Full Cover Phone Protector For IPhone 13 Mini/13/13 Pro/13 Pro Max-Red,"₦ 33,400",,No rating
1 Pair Finger Cover Sensitive Luminous Breathable Video Games Touch Screen Fingertip Gloves For Gamers-Black,"₦ 33,400",,No rating
H20 Universal Mini Backlight Touchpad Keyboard Wireless Air-,"₦ 30,000",,No rating
Wireless Charger Stand 3-in-1 Foldable Wireless Charging for Iphone White,"₦ 23,731",,No rating
Key Ring Nonfading Decorative Electroplated AZ 26 Letter Metal Key Chain Charm For Promotional Gifts,"₦ 1,356",,No rating
Phone Screen Amplifier 9D Super Definition Eye-protection Shield Desk Smartphone Screen Magnifier For Watching Movie-Blue,"₦ 20,000",,No rating
Key Ring Nonfading Decorative Electroplated AZ 26 Letter Metal Key Chain Charm For Promotional Gifts,"₦ 1,356",,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth Inear Earbuds,"₦ 11,611",,No rating
Y30 Bluetooth Wireless Earphone Earbuds For Samsung IPhone Apple Xiaomi Huawei Vivo IOSAndroidBlack,"₦ 11,611",,No rating
Tablet Dust Plug Universal Silicone Dust Plug Set for Iphone Android Black,"₦ 1,236",,No rating
Natural  Gold Line Purple Agate  Crystal Bracelet iWatch Band - Handmade Jewelry Strap for I Watch Series 1-9,"₦ 29,463",,No rating
TF Hybrid Sim Slot Dual SIM Card Adapter Micro SD Extender,"₦ 3,051",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 5,468",,No rating
(Women)2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 33,400",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 25,650",,No rating
AMOLED Phone LCD Touch Screen Digitizer Replacement-Black,"₦ 65,000",,No rating
Black Shark Magnetic Phone Cooler / Radiator IPhone 12 Up,"₦ 77,422",,No rating
Phone Stand Multi-purpose Stretchable Foldable Universal Wireless Charger Stand For Watching TV-Black,"₦ 12,578",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 25,650",,No rating
Phone Case High Toughness Anti-fingerprint TPU Shock-absorbing Full Body Coverage Phone Cover For IPhone 12/12 Mini/12 Pro/12 Pro Max-Navy Blue,"₦ 12,578",,No rating
Y30 Bluetooth Wireless Earphone Earbuds For Samsung IPhone Apple Xiaomi Huawei Vivo IOS/Android-Black,"₦ 6,225",,No rating
