Name,Discount_price,Old_price,Rating_stars
K9 Single Wireless Microphone For IPhone,"₦ 10,000",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 47,500",,No rating
Maphie 10000mAh Fast Charging Powerbank,"₦ 11,399",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 48,000",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
LONIO Superior Car Bluetooth Transmitter Triple Charger,"₦ 15,500",,No rating
Oraimo 20000mAh Powerbank Type-C & Micro-USB Input Fast Charging,"₦ 18,999",,No rating
Jio Universal 4G LTE Pocket Wifi Mobile Mifi Hotspot Router,"₦ 28,000",,No rating
Tempovate New Age 12500mAh Slim Portable CK01 Power Bank Dual USB Output,"₦ 20,500",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
Wireless Microphone Type C Android And IPhone,"₦ 26,800",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
Jio Universal 4G LTE Pocket Wifi Mobile Mifi Hotspot Router,"₦ 27,780",,No rating
2 In 1 DAC Type C Adapter USB C To 3.5mm Jack Charging Splitter Dual Type-C Cable Headphone Converter For Huawei Google-2 In 1 Double Type-c,"₦ 41,900",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 47,000",,No rating
Da Nang ORIGINAL  45W POWER ADAPTER ,"₦ 53,500",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
itel 20000mAh Dual Output Fast Charging Power Bank,"₦ 18,999",,No rating
Hp Smart AC Adapter - Power Adapter - 65 Watt - Laptop Adapter (H6Y89AA),"₦ 90,999",,No rating
K9 Microphone Lightening Wireless Connector For IPhone,"₦ 13,999",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 49,000",,No rating
K9 Lavalier K9 TypeC+iphone+Micro Android Wireless Microphone-Dual,"₦ 25,000",,No rating
Oraimo 20000mAh Powerbank Type-C & Micro-USB Input Fast Charging,"₦ 17,099",,No rating
IPhone Wireless Lavalier Microphone 2.4GHz & Charging Case,"₦ 19,000",,No rating
New Age 22500mA 83Wh Quick Charge Type-C Input Strong Power Bank,"₦ 17,099",,No rating
Hp Original USB-C Power Supply 65.0 Watt - Laptop Adapter (671R3AA),"₦ 110,999",,No rating
K9 Lavalier K9 TypeC+iphone+Micro Android Wireless Microphone-Dual,"₦ 21,000",,No rating
WiWU Air 3 In 1 Wireless Charger - IPHONE / AIRPODS / IWATCH,"₦ 29,999",,No rating
