Name,Discount_price,Old_price,Rating_stars
TCL 55Inch Smart UHD Android 4K HDR Google TV,"₦ 555,000","₦ 690,000",No rating
Hisense 65 Inches Smart 4K UHD TV + Free Wall Bracket 65A6h,"₦ 1,228,500","₦ 1,300,000",5
Samsung 55 Inch Class  Crystal UHD 4K HDR Smart LED TV,"₦ 720,000","₦ 850,000",5
"Hisense 58 INCH UHD 4K SMART, YOUTUBE, NETFLIX, BLUETOOTH TV","₦ 690,000","₦ 778,950",5
"UFC 43 Inches Smart TV + Netflix, YouTube 4K+ Free Wall Bracket","₦ 318,290","₦ 900,000",3.9
"Sonix 43"" INCHES ANDRIOD SMART FULL HD LED TV + WALL HANGER","₦ 224,798","₦ 474,580",3
"Hisense 85''Smart UHD 4K TV+Bluetooth,Netflix,Youtube&DSTV Now APP","₦ 2,396,000","₦ 2,983,985",4.5
Sonix 43 Inch Super FULL HD SMART TV + Wall Hanger,"₦ 223,324","₦ 281,228",4.4
TCL 55Inch Smart UHD Android 4K HDR Google TV,"₦ 555,000","₦ 690,000",No rating
Hisense 65 Inches Smart 4K UHD TV + Free Wall Bracket 65A6h,"₦ 1,228,500","₦ 1,300,000",5
Samsung 55 Inch Class  Crystal UHD 4K HDR Smart LED TV,"₦ 720,000","₦ 850,000",5
ChromeCast Tv Wireless Display Dongle,"₦ 14,000",No old_price,No rating
Hisense 32” Inch Full HD Led Television PLUS Free Tv Bracket,"₦ 210,000","₦ 276,000",No rating
"LG 32"" Inche Smart TV","₦ 300,000",No old_price,No rating
Amani 32inch HD LED TV AMANI + Free Gift Inside (classic Way Too Enjoy Life),"₦ 133,490","₦ 199,990",4.8
Samsung 43 Inch Smart Full HD Television,"₦ 470,000",No old_price,4
"Sonix 50""INCHES SMART 4K TV + Free Amazing Gift","₦ 475,000","₦ 595,000",5
"Hisense 55'' Smart UHD 4K TV+Netflix,Youtube & DSTV + Wall Bracket","₦ 699,499","₦ 860,000",No rating
Hisense 43 Inch Full HD LED TV + Free Wall Bracket + 1 Year Warranty,"₦ 296,200","₦ 399,900",4
"Hisense 65""inches UHD Smart 4K Netflix TV + DSTv App & Wall Bracket","₦ 980,000","₦ 1,290,000",No rating
Samsung 32inch Ultra Flat Screen LED TV Promo,"₦ 169,000","₦ 190,000",5
"HY300 Pro Transpeed Ultra Modern Smart Projector Wifi, HDMI, Bluetooth, Android TV Smart Controls With Stand","₦ 139,990","₦ 200,000",5
Royal 58 Inches 4k UHD Smart TV RTV58GT8W,"₦ 662,800","₦ 748,700",No rating
Hisense 55''Smart Frameless UHD 4K TV+free Wall Bracket,"₦ 609,900","₦ 698,800",4.8
"Portable Transpeed Ultra Modern HY300 Pro Smart Projector Wifi, HDMI, Bluetooth, /Android TV Smart Controls.","₦ 129,990","₦ 290,000",1
Hisense 43''Smart TV + Netflix&Youtube APP 12 Months Warranty-43,"₦ 357,500","₦ 419,000",4.6
LG 32-Inch  Full HD LED Television + Wall Hanger (2 Years Warranty),"₦ 223,990","₦ 2,000,000",4.4
Samsung 32 Inch HD Smart LED TV-,"₦ 279,000","₦ 299,000",2.3
Sonix 32 Inch Smart Andriod TV + Wall Hanger,"₦ 159,850","₦ 180,000",No rating
"UFC FEAMELESS 32"" Inches Smart Bluetooth TV+1 Years Warranty","₦ 175,999",No old_price,3
Google CHROMECAST WITH GOOGLE TV HD,"₦ 103,000",No old_price,5
Hisense 43 Inch Full HD LED TV + Free Wall Bracket -,"₦ 295,400","₦ 349,900",4
"Hisense 58''Smart UHD 4K TV+Netflix,Youtube&DSTV Now APP-","₦ 678,900","₦ 867,500",4.6
Chromecast TV Streaming Device,"₦ 14,800",No old_price,No rating
Polystar 32 Inch Andriod Smart Television + Netflix,"₦ 174,000",No old_price,4
"Hisense 43 INCHES SMART UHD NETFLIX, YOUTUBE TELEVISION","₦ 364,000","₦ 399,900",No rating
Free To Air Digital Satellite Channels Decoder,"₦ 30,000","₦ 30,500",5
"Syinix 32'' TV - A+ Panel, I-Cast, Frameless, Built-in-stabilizer","₦ 159,000","₦ 189,000",3
Samsung 32 Inch  Slim HD LED  TV Series 5,"₦ 200,000","₦ 350,000",4
Samsonic 32''INCHES LED FULL HD TV +  FREE HANGER,"₦ 135,500","₦ 145,500",5
Century 50 Inches Smart 4K UHD TV  (CTV-50V) + 1 YEAR WARRANTY,"₦ 405,000","₦ 450,000",4
Syinix 32'' Ultra-Slim SLED Smart TV A+ Panel TV,"₦ 187,000","₦ 259,000",No rating
Energy 20” INCHES FULL HD LED Energy TV PROMO PRICE,"₦ 80,990","₦ 165,000",1
Energy 20” INCHES FULL HD LED Energy TV PROMO PRICE,"₦ 80,990","₦ 165,000",1
"Polystar 32"" INCH SMART  TV With Netflix(1year Warranty)","₦ 199,000","₦ 219,000",5
