Name,Discount_price,Actual_price,Rating_stars
10 Pieces - Anti-sweat Mobile Game Controller Finger Sleeve Gaming Cot Sets Hand Sweatproof Breathable PUBG/ CALL OF DUTY/ FREE FIRE,"₦ 2,374","₦ 2,999",4
Series 8 Bluetooth Calling Smart Watch For IOS Android,"₦ 9,990","₦ 18,800",3.2
F9 Bluetooth Wireless Earphone With 2000mAh Battery Headset - Black Zw,"₦ 8,354","₦ 9,073",3.7
GUIXIA Tws Wireless Bluetooth Headsets Earphones Pro4,"₦ 4,624","₦ 6,616",3.7
Apple IPhone XS - 5.8 Inches - 64GB ROM 4GB RAM - Space Grey,"₦ 252,580","₦ 400,000",3.1
itel 12 Watts Fast Charger With Free Type-C Cable - White,"₦ 3,650","₦ 5,000",4.2
"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black","₦ 132,785","₦ 250,000",4.6
Oraimo SpaceBuds Beyond Sound Hybrid Noise Cancelling,"₦ 47,000","₦ 53,800",4.5
Mini Handheld Stabilizer Tripod For Phone Video Vlog Go Pro Stand,"₦ 3,760","₦ 7,140",3.9
Wireless Bluetooth Noise Cancelling Earbuds HiFi Stereo Headphones,"₦ 6,743","₦ 12,135",3.8
Portable Lanyard With Hook For JBL Xtreme,"₦ 10,221","₦ 14,630",No rating
"Nokia 105_African Edition 1.77"" 4MB/4MB 800 MAh Dual Sim - Charcoal","₦ 13,600","₦ 24,000",4.2
P9 Wireless Bluetooth Stereo Headphone For Games And Music,"₦ 6,641","₦ 18,000",3.9
10000mAh Power Charge Bank Compact LCD,"₦ 6,930","₦ 9,947",3.7
P9 Wireless Bluetooth Headset Noise Reduction Earphone White,"₦ 6,600","₦ 12,106",3.7
itel 30000mAh Type-C Output Fast Charging Power Bank + Free Gift,"₦ 29,311","₦ 40,000",4.1
Timack G11 Bluetooth Earphone Noise Canceling Waterproof Wireless Headphone HIfi Stereo Earbuds Gaming Sports Headsets,"₦ 5,999","₦ 10,200",3.4
Portable Heavy Duty Smart Bluetooth Speaker,"₦ 6,999","₦ 10,500",3.9
Air 31 Wireless Crystal Clear Bluetooth 5.3 Earphones With LED Digital Display,"₦ 6,621","₦ 16,000",3.8
Bro Toumi H15 Portable Mobile Phone Game Cooler Cooling Fan Radiator-Silver,"₦ 6,599","₦ 8,083",3.9
Neck Hanging Wireless Bluetooth Earphone Sports Earbuds,"₦ 4,899","₦ 16,000",3.4
"Samsung Galaxy A06 6.7"" 4GB RAM / 64GB ROM Android 14 - Black","₦ 142,270","₦ 250,000",4.5
10000mAh Power Bank 22.5 W Quick Charge Function Slim LCD- Black,"₦ 6,950","₦ 10,398",3.6
Zealot S38 Portable Wireless Speaker With BT 5.0 Technology,"₦ 39,440","₦ 74,940",3.9
Metal Folding Retractable Mobile Phone Holder Tablet Stand,"₦ 2,899","₦ 4,078",4.3
Music Pioneer Bluetooth Headset P9 Wireless-Compatible With IOS&Android,"₦ 7,880","₦ 14,665",3.9
itel Buds Ace Super Bass Bluetooth 5.3 Touch Control Earbuds,"₦ 12,750","₦ 15,000",4.3
Air 31 Wireless Crystal Clear Bluetooth 5.3 Earphones With LED Digital Display,"₦ 6,699","₦ 16,000",3.6
TiLECC BT30 ENC Noise Canceling Wireless Bluetooth Earbuds HiFi Stereo Headphones,"₦ 6,257","₦ 12,407",3.6
"Apple IPHONE 12 PRO (6.1INCH) 5G (6GB RAM, 128GB ROM) - Graphite","₦ 597,940","₦ 650,000",4
P47 5.0 Super Wireless Bluetooth Stereo Foldable Headphone-black,"₦ 4,655","₦ 12,000",3.5
Oraimo 20000mAh Powerbank Type-C & Micro-USB Input Fast Charging,"₦ 19,999","₦ 38,000",4
"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - Black","₦ 121,600","₦ 150,000",4.1
"Cidea C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard Tablet PC(Pink)","₦ 130,689","₦ 156,825",3.7
"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -White","₦ 133,300","₦ 200,000",4.2
itel 2163 Wireless FM Torchlight Dual SIM - Black,"₦ 12,990","₦ 15,000",4.1
"Poco C75 6.88"" 8GB RAM / 256GB ROM Android 14 - Black","₦ 176,320","₦ 700,000",4.4
With Earhooks Non In Ear Wireless Bluetooth Earphone Earpods,"₦ 11,900","₦ 17,800",4
"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - Black","₦ 121,600","₦ 150,000",4.1
"Cidea C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard Tablet PC(Pink)","₦ 130,689","₦ 156,825",3.7
"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -White","₦ 133,300","₦ 200,000",4.2
itel 2163 Wireless FM Torchlight Dual SIM - Black,"₦ 12,990","₦ 15,000",4.1
"Poco C75 6.88"" 8GB RAM / 256GB ROM Android 14 - Black","₦ 176,320","₦ 700,000",4.4
With Earhooks Non In Ear Wireless Bluetooth Earphone Earpods,"₦ 11,900","₦ 17,800",4
T800 Ultra Smart Watch 1:1 49mm Case Bluetooth Calls Fitness,"₦ 8,976","₦ 15,800",3.7
Digital Display Bluetooth Headset Stereo Transparent Shell,"₦ 5,500","₦ 8,414",3.4
Andoer Photography Light Desktop LED Video Light Kit - USB - 1PC,"₦ 14,240","₦ 25,640",4.1
itel Smart Watch Native Storm Water Proof (ISW-O13)-Black,"₦ 19,656","₦ 32,390",4.1
"itel Max Power 600PF PD/QC3.0 Four Output, Four Input Power Bank With Lamp","₦ 75,750","₦ 100,000",4.3
Smart watch waterproof health oxygen heart rate real-time monitoring suitable for apple ios android,"₦ 7,198","₦ 12,957",3.1
"C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard Tablt PC(Red)N","₦ 124,155","₦ 156,825",4
"Cidea C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard Tablet PC(Black) N","₦ 124,155","₦ 156,826",4.7
ECG+PPG Bluetooth Call Smart Watch Men Measure Heart Rate Health Blood Pressure Smart Watch Sports,"₦ 30,481","₦ 60,962",4
"OIPETLUCK Green New Earbuds With Hifi Sound,tws Earphone,earpods","₦ 7,990","₦ 11,449",3.6
"XIAOMI Redmi 13 6.79"" 6GB RAM/128GB ROM Android 14 - Black","₦ 204,820","₦ 400,000",4.3
Oraimo Traveler 3 Lit 27000mAh 15W Power-Bank For 3 Devices 15W Fast Charging,"₦ 42,000","₦ 61,030",4.2
"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 142,270","₦ 200,000",4.3
Wireless Bluetooth Touch Control LED Digital Earphones TWS,"₦ 5,290","₦ 10,000",3.3
"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black + Free Backpack","₦ 314,999","₦ 350,000",4
Built-in Wired 20000mAh Solar Mobile Power Supply,"₦ 12,350","₦ 19,999",3.5
Music Pioneer Bluetooth Headset P9 Wireless-Compatible With IOS&Android,"₦ 8,053","₦ 15,188",4.2
"ZTE Nubia V60 Design 6GB / 256GB 6.6'' FHD+, 50MP Camera - Blue","₦ 172,730","₦ 300,000",4.7
TiLECC Wireless Bluetooth Earphones AIR13PRO-White,"₦ 5,999","₦ 12,999",3.9
Lenovo LP40 Bluetooth 5.0 Waterproof Earphone - Black,"₦ 7,799","₦ 13,520",3.8
1.99 Inch IP67 Waterproof Full Touch Smart Watch,"₦ 15,971","₦ 31,500",3.9
Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 132,472","₦ 159,900",4
"XIAOMI Redmi Pad SE 8.7"" 4GB RAM / 64GB ROM Android 13 - Grey","₦ 165,590","₦ 189,830",4.2
"Poco C61 6.71"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 124,600","₦ 700,000",3.6
Andoer Photography Light LED Video Light Kit USB -1.48m -1PC,"₦ 17,430","₦ 31,380",4.1
Fast Charger USB 4 Port QC3.0 Quick Charger Adapter UK White,"₦ 4,704","₦ 5,833",4.1
