Name,Discount_price,Actual_price,Rating_stars
Hp ELITEBOOK 840 G6 TOUCHSCREEN CORE I5 8GB RAM/ 256GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,"₦ 515,000","₦ 750,000",No rating
"Apple MacBook Pro 16.2"" 40 Core 48GB/1TB M3 Max - Black","₦ 6,500,999","₦ 9,999,999",No rating
Hp Notebook 11 Pro G5 TOUCHSCREEN-512GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 269,999","₦ 490,000",4.8
"Hp CHROMEBOOK 11 G5,INTEL CELERON,4GB RAM,32GB EMMC WINS 10","₦ 140,000",No old_price,No rating
"Hp ProBook X360- TOUCH Intel Celeron 256GB SSD, 4GB RAM +BAG","₦ 220,000","₦ 800,000",3
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000",No old_price,3.3
Hp Chromebook 11 Celeron 4gb RAM 16gb Windows10,"₦ 130,000","₦ 145,000",No rating
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Mouse,"₦ 205,000","₦ 400,000",2.5
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 USB Light For Keyboard,"₦ 140,000",No old_price,4.5
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 420,000",3.8
"DELL Latitude 3350 Core I3 8GB RAM, 500GB HDD Windows 10pro + Keyboard Flash Light","₦ 450,000","₦ 500,000",4.3
DELL Latitude 7400 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11 PRO+BAG,"₦ 850,000","₦ 876,000",5
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,"₦ 180,000","₦ 250,000",3.7
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 215,000","₦ 620,000",No rating
"Lenovo Thinkpad 11e Intel Celeron, 256GB/8GB Windows 10 Pro + Bag","₦ 300,000",No old_price,No rating
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 785,000","₦ 990,000",4.7
Lenovo 10W QUALCOMM SNAPDRAGON 4GB RAM 64GB EMMC 10.1 TOUCH DETACHABLE WINS 11,"₦ 240,000","₦ 289,000",4
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 400,000",No rating
Lenovo X360 Convertible ,"₦ 200,000",No old_price,4
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN 10 Pro+ MOUSE & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 850,000",3.5
"Hp CHROMEBOOK 11 G4,INTEL CELERON,4GB RAM,32GB SSD + BAG","₦ 140,000",No old_price,5
"DELL Latitude 7490 Intel Core I5, Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11 + Free Mouse","₦ 380,000","₦ 450,000",4
Hp EliteBook 845 G8 - Ryzen 7 Pro 4650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 760,000","₦ 900,000",3.5
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 530,000","₦ 750,000",5
"Hp CHROMEBOOK 11, INTEL CELERON, 4GB RAM,32GB SSD WINDOWS 10 PRO + BAG&FLASH","₦ 150,000",No old_price,5
Hp EliteBook 830 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit TOUCHSCREEN/FP Reader Wins 11 Laptop +BAG,"₦ 560,000 - ₦ 590,000","₦ 700,000",4
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 480,000","₦ 965,100",No rating
Hp Stream 11 64gb ,"₦ 175,000",No old_price,No rating
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 170,000","₦ 340,000",No rating
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,"₦ 180,000","₦ 250,000",No rating
